Latitude: 28.64278  Longitude: -82.26415
X & Y on Lambert Conformal Conic: 1692532.5 -1301758.28
Tile: 10669
Elevation: 25 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1990,1,36769.43,2.77,208.80,0.00,24.37,11.07,1317.90
1990,2,36795.17,0.00,331.70,0.00,22.08,5.06,875.51
1990,3,36823.04,0.00,332.80,0.00,24.34,6.87,992.81
1990,4,36853.00,0.00,316.77,0.00,25.26,9.15,1158.82
1990,5,36885.04,19.82,174.15,0.00,24.50,13.99,1596.63
1990,6,36919.14,0.00,166.82,0.00,25.75,18.26,2096.53
1990,7,36955.28,0.00,175.00,0.00,25.69,17.86,2044.37
1990,8,36993.43,10.39,96.16,0.00,22.06,16.62,1890.95
1990,9,37033.57,0.00,246.77,0.00,20.76,10.06,1231.92
1990,10,37075.68,0.00,275.50,0.00,20.52,8.33,1096.82
1990,11,37119.74,0.00,287.90,0.00,21.73,8.76,1109.41
1990,12,37165.70,0.00,265.10,0.00,21.18,9.62,1196.29
1990,13,37213.56,0.00,324.25,0.00,17.27,2.55,716.57
1990,14,37263.28,0.00,371.44,0.00,20.76,1.40,613.43
1990,15,37314.82,0.00,350.08,0.00,24.31,6.83,892.37
1990,16,37368.17,0.00,336.25,0.00,24.83,8.60,1017.55
1990,17,37423.29,0.00,308.75,0.00,27.12,12.61,1352.53
1990,18,37480.15,0.00,309.12,0.00,27.77,13.22,1400.75
1990,19,37538.73,0.00,319.05,0.00,27.74,12.65,1332.45
1990,20,37598.98,0.00,297.35,0.00,29.24,15.40,1620.85
1990,21,37660.87,0.00,285.64,0.00,28.33,15.45,1626.54
1990,22,37724.38,0.00,219.59,0.00,24.30,15.23,1678.58
1990,23,37789.48,0.00,384.92,0.00,24.59,5.25,672.91
1990,24,37856.12,0.00,379.28,0.00,28.11,9.03,850.42
1990,25,37924.27,0.00,322.17,0.00,28.64,14.18,1300.93
1990,26,37993.91,0.00,359.14,0.00,22.90,6.81,786.53
1990,27,38064.99,0.00,404.86,0.00,21.95,1.65,518.96
1990,28,38137.49,0.00,391.67,0.00,26.60,7.42,753.43
1990,29,38211.37,0.00,392.58,0.00,26.44,7.45,753.72
1990,30,38286.60,0.00,281.09,0.00,27.20,15.63,1530.63
1990,31,38363.14,0.00,198.56,0.00,25.27,17.48,1978.81
1990,32,38440.96,0.00,326.77,0.00,28.91,15.20,1364.63
1990,33,38520.03,0.00,299.30,0.00,29.61,17.44,1637.81
1990,34,38600.31,0.00,300.52,0.00,29.18,17.20,1611.39
1990,35,38681.77,0.00,299.69,0.00,29.25,17.37,1628.49
1990,36,38764.37,0.00,383.50,0.00,23.99,7.89,796.39
1990,37,38848.09,0.00,396.69,0.00,25.26,7.83,767.00
1990,38,38932.89,0.00,356.16,0.00,26.84,11.95,1060.92
1990,39,39018.74,0.00,362.20,0.00,27.10,12.04,952.23
1990,40,39105.61,0.00,326.28,0.00,27.76,14.68,1203.12
